Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Libya,,,,,,,,3,,1,14,17,2,3,15,9,26,12,57,155,371,533,534,733,1767,1637,1875,3056,4214,3166,2941,3156,2748,1402,742,761,401,184,9,218,10,,,,,,,,,9,,,,,,1,16,16,16,22,37,8,73,116,,,,,,,,31079
Libya GNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,,20
Libya HoR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,37,13,6,11,25,,108
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,10,,4,15,,15,5,6,16,12,2,47,9,52,4,27,27,8,1,1,73,3,13,28,10,6,61,211,737
LRA (Uganda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
LTTE (Sri Lanka)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,1,,1,,,0,,,,,,,,,,,,,,,,3
Luxembourg,,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,7,7,,1,,,,0,0,,,85,107
Madagascar,,,,,,,,,,,,3,,1,0,7,,12,1,1,,0,0,,18,6,,,,64,43,0,,8,,6,,,,,,,,,,,21,,,,,,,,,,,,,0,,,,0,,,,,1,4,1,198
Malawi,,,,,,,,,,,,,,,5,,,,,,,,0,,,,2,6,7,8,14,14,,,1,6,10,1,2,3,10,,,,2,,,,,,,,,,,,,,3,,,,1,2,2,2,1,,,,,102
Malaysia,,,,,,,,,13,18,5,2,31,75,97,10,58,128,91,79,25,195,112,205,50,85,394,146,72,310,127,56,26,271,546,410,146,5,14,38,,34,13,13,308,848,33,563,39,730,25,28,152,147,63,59,408,519,500,1499,423,5,47,77,73,118,283,193,88,65,55,11243
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,8,,,,,,,,15,,,,5,,,5,,,,,,,3,37
Mali,,,,,,,,,,,,3,10,4,,,1,10,,2,,15,,,,9,89,,,,,91,4,15,13,0,,,1,,1,,,,0,,,9,4,,7,,1,4,,13,,8,3,10,,0,9,6,1,,21,31,25,15,31,466
Malta,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,8,,1,,,,,,,,,,,,13,,,0,1,6,0,,0,0,,,,18,,,,,,8,8,,12,,6,8,,,,88
